frame_idx,time_sec,kps_ref,kps_cur,good_matches,inliers,inlier_ratio,centroid_ref_x,centroid_ref_y,centroid_warped_x,centroid_warped_y,centroid_shift_px,mean_dist_ref,mean_dist_warped,shape_drift_abs,shape_drift_rel,reprojection_error_px,status
95,3.1659210970464136,229,236,157,146,0.929936,652.9083251953125,402.1136474609375,652.8960571289062,402.10870361328125,0.013226755894720554,69.94511413574219,70.02244567871094,0.07733154296875,0.0011056032136665473,0.5310139656066895,ok
100,3.332548523206751,229,230,155,147,0.948387,655.3341064453125,399.99554443359375,655.322021484375,400.1356201171875,0.14059603214263916,68.9215316772461,69.03733825683594,0.11580657958984375,0.0016802670627251365,0.6595226526260376,ok
105,3.4991759493670886,229,237,152,146,0.960526,658.5992431640625,395.0101013183594,658.5909423828125,395.02020263671875,0.013074386864900589,68.67951965332031,68.8053970336914,0.12587738037109375,0.0018328226668808422,0.721635103225708,ok
110,3.665803375527426,229,234,139,131,0.942446,653.78173828125,395.3846740722656,653.780517578125,395.4258728027344,0.041216809302568436,65.23277282714844,65.32228088378906,0.089508056640625,0.00137213325084004,0.6234524846076965,ok
115,3.8324308016877637,229,52,23,8,0.347826,660.5675048828125,348.85638427734375,660.5626831054688,348.8609619140625,0.00664863083511591,38.6439208984375,39.07249450683594,0.4285736083984375,0.011090324129500175,1.6826790571212769,ok
120,3.999058227848101,229,74,16,8,0.500000,645.900390625,341.4070129394531,645.9034423828125,341.4043884277344,0.004025082103908062,29.001049041748047,29.033828735351562,0.032779693603515625,0.0011302933751233648,0.8665556907653809,ok
125,4.165685654008438,229,75,24,9,0.375000,682.4932861328125,368.96160888671875,682.4930419921875,368.9578552246094,0.0037615932524204254,54.32473373413086,54.23271179199219,0.09202194213867188,0.0016939234822398552,0.8018277883529663,ok
130,4.332313080168777,229,246,69,35,0.507246,653.5471801757812,409.6962890625,653.5478515625,409.69537353515625,0.0011353195877745748,62.17999267578125,62.224246978759766,0.044254302978515625,0.0007117129011138083,0.6747909784317017,ok
135,4.498940506329114,229,113,46,25,0.543478,677.9795532226562,385.3329772949219,677.9952392578125,385.2284240722656,0.10572335869073868,62.40409851074219,62.2454719543457,0.15862655639648438,0.00254192529308277,1.060927152633667,ok
140,4.665567932489451,229,155,56,25,0.446429,652.18701171875,342.3892822265625,652.18701171875,342.3892517089844,3.0517578125e-05,37.70768737792969,37.775142669677734,0.06745529174804688,0.0017889002598321228,0.6685766577720642,ok
145,4.8321953586497886,229,101,41,16,0.390244,711.2203369140625,427.8056945800781,711.2202758789062,427.8066101074219,0.0009175596060231328,22.857154846191406,22.72707748413086,0.13007736206054688,0.0056908816051627325,0.630405604839325,ok
150,4.998822784810127,229,200,44,20,0.454545,652.6630249023438,392.12890625,652.6636352539062,392.12969970703125,0.0010010510450229049,58.072418212890625,58.109474182128906,0.03705596923828125,0.0006380992970266175,0.7233175039291382,ok
