frame_idx,time_sec,kps_ref,kps_cur,good_matches,inliers,inlier_ratio,centroid_ref_x,centroid_ref_y,centroid_warped_x,centroid_warped_y,centroid_shift_px,mean_dist_ref,mean_dist_warped,shape_drift_abs,shape_drift_rel,reprojection_error_px,status
70,2.3327839662447256,677,696,414,409,0.987923,645.8831787109375,388.437744140625,645.9259033203125,388.4484558105469,0.044046930968761444,48.831634521484375,48.839900970458984,0.008266448974609375,0.00016928470766163682,0.818488597869873,ok
75,2.4994113924050634,677,706,463,443,0.956803,647.5706176757812,388.99755859375,647.5910034179688,389.01837158203125,0.029133468866348267,49.44914245605469,49.47843933105469,0.029296875,0.0005924647738034294,0.8172957301139832,ok
80,2.6660388185654007,677,715,446,438,0.982063,646.2526245117188,385.9706115722656,646.2175903320312,386.0123291015625,0.0544770210981369,48.42470932006836,48.4168701171875,0.007839202880859375,0.00016188435596061742,0.8889212012290955,ok
85,2.8326662447257385,677,714,417,408,0.978417,647.0078125,388.4891662597656,647.0282592773438,388.5445861816406,0.05907147005200386,48.972198486328125,49.00666427612305,0.034465789794921875,0.0007037827759467222,0.9986281991004944,ok
90,2.999293670886076,677,702,425,421,0.990588,647.7243041992188,388.6718444824219,647.7157592773438,388.6629333496094,0.012346010655164719,48.79349899291992,48.798423767089844,0.004924774169921875,0.00010093094923642336,0.8871423602104187,ok
95,3.1659210970464136,677,669,440,426,0.968182,645.6866455078125,389.56719970703125,645.8431396484375,389.54833984375,0.15762649476528168,49.58736801147461,49.69265365600586,0.10528564453125,0.002123235185761154,0.84809809923172,ok
100,3.332548523206751,677,695,435,421,0.967816,646.959228515625,386.7388916015625,646.9075927734375,386.8028259277344,0.08218179643154144,49.537174224853516,49.521759033203125,0.015415191650390625,0.0003111843154480257,1.0491313934326172,ok
105,3.4991759493670886,677,675,424,414,0.976415,648.6011352539062,387.6450500488281,648.6121826171875,387.609375,0.03734639659523964,48.65298080444336,48.613487243652344,0.039493560791015625,0.0008117397976037014,1.0046944618225098,ok
110,3.665803375527426,677,679,416,395,0.949519,648.1146850585938,386.93341064453125,648.103759765625,387.1192932128906,0.18620336055755615,48.67454528808594,48.830928802490234,0.15638351440429688,0.003212839760057807,0.8907377123832703,ok
115,3.8324308016877637,677,210,33,14,0.424242,668.1923217773438,383.0484313964844,668.1944580078125,383.0492248535156,0.002278827363625169,50.34199905395508,50.39726638793945,0.055267333984375,0.0010978374920141945,1.7086999416351318,ok
120,3.999058227848101,677,134,21,16,0.761905,643.6190185546875,352.1099853515625,643.6107788085938,352.0923767089844,0.019441135227680206,19.90473175048828,19.894916534423828,0.009815216064453125,0.000493109688062606,1.6309881210327148,ok
125,4.165685654008438,677,234,52,24,0.461538,641.3104858398438,360.2826843261719,641.3114624023438,360.282958984375,0.0010144512634724379,29.104042053222656,29.16229820251465,0.05825614929199219,0.0020016514951929692,0.901086151599884,ok
130,4.332313080168777,677,440,148,125,0.844595,647.2776489257812,391.6212158203125,647.1808471679688,391.5516052246094,0.11923176795244217,45.61558151245117,45.50288772583008,0.11269378662109375,0.0024705107966305987,1.1054050922393799,ok
135,4.498940506329114,677,290,126,103,0.817460,637.5173950195312,376.0853271484375,637.4921875,376.0240478515625,0.06626138836145401,36.62553405761719,36.65314483642578,0.02761077880859375,0.0007538669269684384,1.2106120586395264,ok
140,4.665567932489451,677,316,97,69,0.711340,641.8131713867188,359.72515869140625,641.97509765625,359.9973449707031,0.3167104125022888,27.633386611938477,27.85087776184082,0.21749114990234375,0.007870593386059343,1.3801378011703491,ok
145,4.8321953586497886,677,304,104,73,0.701923,648.73193359375,363.61346435546875,648.733154296875,363.5863952636719,0.027096601203083992,25.52623176574707,25.61716651916504,0.09093475341796875,0.0035624041281326737,1.275840163230896,ok
150,4.998822784810127,677,384,151,103,0.682119,643.0202026367188,375.21112060546875,642.9892578125,375.1995544433594,0.03303571045398712,41.71720886230469,41.68673324584961,0.030475616455078125,0.0007305286543898106,1.3235028982162476,ok
