frame_idx,time_sec,kps_ref,kps_cur,good_matches,inliers,inlier_ratio,centroid_ref_x,centroid_ref_y,centroid_warped_x,centroid_warped_y,centroid_shift_px,mean_dist_ref,mean_dist_warped,shape_drift_abs,shape_drift_rel,reprojection_error_px,status
95,3.1659210970464136,101,102,84,83,0.988095,651.1452026367188,396.30340576171875,651.142822265625,396.38983154296875,0.08645855635404587,52.47209548950195,52.55376434326172,0.08166885375976562,0.0015564244766269157,0.41782042384147644,ok
100,3.332548523206751,101,103,88,88,1.000000,651.327392578125,397.9820251464844,651.3334350585938,398.10498046875,0.12310370802879333,53.12738037109375,53.259178161621094,0.13179779052734375,0.0024807884297463694,0.6287415027618408,ok
105,3.4991759493670886,101,105,87,85,0.977011,651.802001953125,397.3590393066406,651.8018798828125,397.3590393066406,0.0001220703125,51.8148193359375,51.88485336303711,0.07003402709960938,0.0013516215630425923,0.6273991465568542,ok
110,3.665803375527426,101,102,82,80,0.975610,651.1957397460938,393.8675231933594,651.1957397460938,393.8675231933594,0.0,50.380287170410156,50.421592712402344,0.0413055419921875,0.000819875080355784,0.5479621887207031,ok
115,3.8324308016877637,101,38,9,5,0.555556,668.4896850585938,370.71978759765625,672.0126953125,371.939453125,3.728161096572876,25.98629379272461,26.81439208984375,0.8280982971191406,0.03186673342971992,4.217221260070801,ok
120,3.999058227848101,101,19,7,5,0.714286,673.5506591796875,365.47247314453125,673.5342407226562,365.4815979003906,0.0187836866825819,24.73532485961914,24.78306770324707,0.04774284362792969,0.0019301482353227845,0.8086999654769897,ok
125,4.165685654008438,101,43,20,11,0.550000,678.7750244140625,378.95751953125,678.6134033203125,379.01318359375,0.17093819379806519,53.667213439941406,53.7221794128418,0.054965972900390625,0.0010242002402808309,1.4374394416809082,ok
130,4.332313080168777,101,72,37,28,0.756757,650.5247192382812,375.73748779296875,650.3386840820312,375.79193115234375,0.193837970495224,34.8071174621582,34.93235778808594,0.12524032592773438,0.0035981240349446876,0.8319922685623169,ok
135,4.498940506329114,101,56,24,22,0.916667,639.845458984375,372.97625732421875,639.8989868164062,373.19384765625,0.22407762706279755,46.190914154052734,45.94123840332031,0.24967575073242188,0.005405300053160252,0.9729911684989929,ok
140,4.665567932489451,101,57,35,30,0.857143,648.804443359375,360.7799987792969,648.7310180664062,360.84539794921875,0.0983276441693306,28.48755645751953,28.450902938842773,0.03665351867675781,0.0012866501460529025,0.8027511239051819,ok
145,4.8321953586497886,101,61,27,18,0.666667,637.8538818359375,355.3296813964844,637.8472900390625,355.3275146484375,0.006938773673027754,27.69076156616211,27.84372329711914,0.15296173095703125,0.00552392647603991,1.1973270177841187,ok
150,4.998822784810127,101,65,39,34,0.871795,639.5877685546875,379.9850769042969,639.5902099609375,379.98504638671875,0.0024415969382971525,44.173614501953125,44.162662506103516,0.010951995849609375,0.00024793071549816543,1.0492022037506104,ok
